A compendium of geochemical information from the Saanich Inlet water column. ScientificData. Nature,,,,,,,,,,,,,
"Authors: Monica Torres Beltran, Alyse K. Hawely, David Capelle, Elena Zaikova, David A. Walsh, Andreas Mueller ",,,,,,,,,,,,,
"Melanie Scofield, Sam Kheirandish, Chris Payne, Larysa Pakhomova, Maya Bathia, Olena Shevchuk, Esther A. Gies",,,,,,,,,,,,,
"Diane Fairley, Tijana Glavina del Rio, Susannah Tringe, Frank Whitney, Philippe D. Tortell, Steven J. Hallam",,,,,,,,,,,,,
"Affiliations:Department of Microbiology and Immunology, University of British Columbia, Vancouver, BC. Canada",,,,,,,,,,,,,
"Earth, Ocean and Atmospheric Sciences, University of British Columbia, Vancouver, BC. Canada",,,,,,,,,,,,,
"Department of Biology, Concordia University, Montreal, QC.Canada",,,,,,,,,,,,,
"Department of Energy Joint Genome Institute, Walnut Creek, CA.USA",,,,,,,,,,,,,
"Institute of Ocean Sciences, Fisheries and Oceans Canada, Sidney, BC. Canada",,,,,,,,,,,,,
"Department of Botany, University of British Columbia, Vancouver, BC. Canada",,,,,,,,,,,,,
"Genome Science and Technology Program, University of British Columbia, Vancouver, BC. Canada",,,,,,,,,,,,,
,,,,,,,,,,,,,
Saanich Inlet time-series chemical dataset,,,,,,,,,,,,,
Data derived from seawater samples taken as described in manuscript methods,,,,,,,,,,,,,
Key to the data fields is described on Saanich_TimeSeries_CTD_dataset_README.csv file,,,,,,,,,,,,,
,,,,,,,,,,,,,
Longitude,Latitude,Cruise,Date,Pressure,Temperature ,Conductivity,Fluorescence,Beam Transmission,PAR/Irradiance,"Oxygen, SBE",Oxygen ,Salinity,Density
-123.505,48.59166667,19,2008-03-19,22,7.472,30.878,0.339,91.093,16.234,4.812,210.012,29.769,23.24
-123.505,48.59166667,19,2008-03-19,23,7.468,30.888,0.295,91.038,13.829,4.748,207.239,29.782,23.251
-123.505,48.59166667,19,2008-03-19,24,7.605,31.025,0.292,90.945,11.897,4.716,205.839,29.811,23.255
-123.505,48.59166667,19,2008-03-19,25,7.595,31.021,0.279,90.974,10.306,4.751,207.362,29.814,23.26
-123.505,48.59166667,19,2008-03-19,26,7.526,30.968,0.252,90.953,8.96,4.825,210.602,29.817,23.271
-123.505,48.59166667,19,2008-03-19,27,7.44,30.902,0.24,90.856,7.804,4.858,212.011,29.82,23.285
-123.505,48.59166667,19,2008-03-19,28,7.442,30.916,0.218,90.648,6.794,4.831,210.827,29.833,23.295
-123.505,48.59166667,19,2008-03-19,29,7.489,30.976,0.205,90.575,5.938,4.8,209.469,29.856,23.306
-123.505,48.59166667,19,2008-03-19,30,7.506,30.999,0.19,90.586,5.247,4.776,208.431,29.865,23.312
-123.505,48.59166667,19,2008-03-19,31,7.52,31.031,0.174,90.549,4.671,4.753,207.422,29.887,23.327
-123.505,48.59166667,19,2008-03-19,32,7.531,31.066,0.157,90.405,4.189,4.74,206.849,29.914,23.346
-123.505,48.59166667,19,2008-03-19,33,7.529,31.069,0.159,90.372,3.786,4.728,206.346,29.92,23.351
-123.505,48.59166667,19,2008-03-19,34,7.54,31.104,0.142,90.363,3.433,4.726,206.259,29.946,23.37
-123.505,48.59166667,19,2008-03-19,35,7.539,31.111,0.141,90.324,3.151,4.741,206.902,29.955,23.377
-123.505,48.59166667,19,2008-03-19,36,7.527,31.11,0.153,90.144,2.925,4.757,207.596,29.963,23.385
-123.505,48.59166667,19,2008-03-19,37,7.617,31.212,0.107,89.921,2.835,4.516,197.094,29.993,23.397
-123.505,48.59166667,19,2008-03-19,38,7.753,31.372,0.063,90.185,2.645,4.448,194.122,30.045,23.42
-123.505,48.59166667,19,2008-03-19,39,7.736,31.36,0.058,90.627,2.498,4.423,193.019,30.047,23.424
-123.505,48.59166667,19,2008-03-19,40,7.749,31.378,0.05,90.661,2.374,4.421,192.929,30.054,23.427
-123.505,48.59166667,19,2008-03-19,41,7.76,31.397,0.06,90.642,2.272,4.511,196.837,30.064,23.434
-123.505,48.59166667,19,2008-03-19,42,7.567,31.224,0.105,90.645,2.183,4.631,202.099,30.047,23.446
-123.505,48.59166667,19,2008-03-19,43,7.491,31.159,0.135,90.129,2.116,4.728,206.326,30.044,23.454
-123.505,48.59166667,19,2008-03-19,44,7.434,31.114,0.163,89.697,2.055,4.77,208.137,30.043,23.461
-123.505,48.59166667,19,2008-03-19,45,7.436,31.12,0.164,89.227,2.002,4.776,208.386,30.048,23.465
-123.505,48.59166667,19,2008-03-19,46,7.444,31.133,0.168,88.995,1.956,4.766,207.981,30.055,23.469
-123.505,48.59166667,19,2008-03-19,47,7.459,31.155,0.157,88.971,1.919,4.758,207.635,30.065,23.475
-123.505,48.59166667,19,2008-03-19,48,7.459,31.16,0.155,89.03,1.883,4.772,208.221,30.069,23.478
-123.505,48.59166667,19,2008-03-19,49,7.441,31.146,0.171,89.039,1.852,4.787,208.884,30.07,23.481
-123.505,48.59166667,19,2008-03-19,50,7.449,31.17,0.191,88.855,1.828,4.773,208.261,30.088,23.494
-123.505,48.59166667,19,2008-03-19,51,7.466,31.2,0.186,88.31,1.816,4.748,207.197,30.105,23.505
-123.505,48.59166667,19,2008-03-19,52,7.463,31.205,0.174,88.185,1.878,4.692,204.745,30.112,23.511
-123.505,48.59166667,19,2008-03-19,53,7.48,31.228,0.175,88.368,1.874,4.685,204.419,30.122,23.517
-123.505,48.59166667,19,2008-03-19,54,7.48,31.235,0.163,88.272,1.856,4.675,203.996,30.129,23.522
-123.505,48.59166667,19,2008-03-19,55,7.482,31.24,0.164,88.204,1.845,4.644,202.612,30.132,23.524
-123.505,48.59166667,19,2008-03-19,56,7.5,31.267,0.164,88.261,1.835,4.57,199.387,30.144,23.532
-123.505,48.59166667,19,2008-03-19,57,7.535,31.307,0.135,88.303,1.828,4.536,197.937,30.157,23.537
-123.505,48.59166667,19,2008-03-19,58,7.563,31.343,0.132,88.582,1.821,4.562,199.033,30.17,23.544
-123.505,48.59166667,19,2008-03-19,59,7.551,31.338,0.153,88.537,1.81,4.605,200.937,30.174,23.548
-123.505,48.59166667,19,2008-03-19,60,7.516,31.311,0.172,88.191,1.809,4.633,202.167,30.176,23.554
-123.505,48.59166667,19,2008-03-19,61,7.507,31.309,0.172,87.841,1.802,4.659,203.286,30.181,23.56
-123.505,48.59166667,19,2008-03-19,62,7.501,31.308,0.192,87.658,1.801,4.68,204.188,30.185,23.564
-123.505,48.59166667,19,2008-03-19,63,7.483,31.305,0.238,87.3,1.797,4.68,204.186,30.197,23.575
-123.505,48.59166667,19,2008-03-19,64,7.486,31.316,0.246,86.615,1.793,4.669,203.693,30.205,23.581
-123.505,48.59166667,19,2008-03-19,65,7.488,31.322,0.245,86.361,1.792,4.647,202.768,30.209,23.584
-123.505,48.59166667,19,2008-03-19,66,7.499,31.338,0.221,86.286,1.788,4.624,201.759,30.217,23.589
-123.505,48.59166667,19,2008-03-19,67,7.513,31.355,0.21,86.397,1.789,4.609,201.112,30.223,23.592
-123.505,48.59166667,19,2008-03-19,68,7.517,31.36,0.199,86.644,1.79,4.605,200.926,30.225,23.593
-123.505,48.59166667,19,2008-03-19,69,7.503,31.354,0.21,86.636,1.785,4.594,200.417,30.23,23.599
-123.505,48.59166667,19,2008-03-19,70,7.502,31.36,0.216,86.219,1.79,4.579,199.792,30.236,23.604
-123.505,48.59166667,19,2008-03-19,71,7.508,31.369,0.228,86.014,1.787,4.567,199.245,30.241,23.606
-123.505,48.59166667,19,2008-03-19,72,7.513,31.378,0.222,85.889,1.784,4.556,198.794,30.245,23.61
-123.505,48.59166667,19,2008-03-19,73,7.513,31.379,0.21,85.891,1.79,4.543,198.218,30.246,23.61
-123.505,48.59166667,19,2008-03-19,74,7.513,31.382,0.213,85.861,1.784,4.515,197.004,30.248,23.611
-123.505,48.59166667,19,2008-03-19,75,7.524,31.397,0.213,85.826,1.786,4.489,195.872,30.254,23.615
-123.505,48.59166667,19,2008-03-19,76,7.555,31.436,0.219,85.742,1.785,4.477,195.345,30.268,23.622
-123.505,48.59166667,19,2008-03-19,77,7.553,31.439,0.231,85.712,1.791,4.46,194.576,30.273,23.626
-123.505,48.59166667,19,2008-03-19,78,7.554,31.446,0.225,85.462,1.783,4.468,194.948,30.28,23.631
-123.505,48.59166667,19,2008-03-19,79,7.547,31.451,0.228,85.398,1.789,4.47,195.032,30.291,23.641
-123.505,48.59166667,19,2008-03-19,80,7.541,31.448,0.259,85.231,1.782,4.405,192.205,30.292,23.643
-123.505,48.59166667,19,2008-03-19,81,7.552,31.463,0.26,84.868,1.784,4.227,184.423,30.297,23.645
-123.505,48.59166667,19,2008-03-19,82,7.612,31.528,0.199,84.846,1.791,4.021,175.427,30.314,23.651
-123.505,48.59166667,19,2008-03-19,83,7.749,31.673,0.115,85.829,1.787,3.86,168.394,30.349,23.659
-123.505,48.59166667,19,2008-03-19,84,7.836,31.763,0.083,87.089,1.788,3.746,163.444,30.368,23.662
-123.505,48.59166667,19,2008-03-19,85,7.858,31.791,0.059,87.683,1.781,3.656,159.509,30.378,23.667
-123.505,48.59166667,19,2008-03-19,86,7.869,31.816,0.045,88.127,1.791,3.59,156.625,30.394,23.678
-123.505,48.59166667,19,2008-03-19,87,7.881,31.838,0.053,88.153,1.786,3.521,153.608,30.407,23.687
-123.505,48.59166667,19,2008-03-19,88,7.903,31.868,0.062,88.086,1.792,3.453,150.629,30.419,23.693
-123.505,48.59166667,19,2008-03-19,89,7.93,31.905,0.054,88.023,1.789,3.388,147.817,30.434,23.701
-123.505,48.59166667,19,2008-03-19,90,7.946,31.937,0.06,87.946,1.788,3.325,145.056,30.453,23.714
-123.505,48.59166667,19,2008-03-19,91,7.951,31.953,0.069,87.758,1.794,3.215,140.267,30.466,23.723
-123.505,48.59166667,19,2008-03-19,92,7.998,32.013,0.051,87.604,1.792,3.09,134.792,30.487,23.734
-123.505,48.59166667,19,2008-03-19,93,8.09,32.128,0.033,87.802,1.801,2.927,127.677,30.528,23.752
-123.505,48.59166667,19,2008-03-19,94,8.126,32.188,0.039,87.914,1.804,2.748,119.873,30.56,23.773
-123.505,48.59166667,19,2008-03-19,95,8.226,32.318,0.033,87.623,1.804,2.611,113.918,30.609,23.797
-123.505,48.59166667,19,2008-03-19,96,8.301,32.411,0.036,87.654,1.794,2.486,108.436,30.64,23.811
-123.505,48.59166667,19,2008-03-19,97,8.309,32.425,0.033,87.761,1.802,2.35,102.521,30.647,23.815
-123.505,48.59166667,19,2008-03-19,98,8.392,32.514,0.023,87.813,1.798,2.263,98.698,30.668,23.819
-123.505,48.59166667,19,2008-03-19,99,8.428,32.587,0.024,88.436,1.798,2.145,93.567,30.712,23.849
-123.505,48.59166667,19,2008-03-19,100,8.42,32.592,0.035,88.107,1.801,1.982,86.467,30.724,23.859
-123.505,48.59166667,19,2008-03-19,101,8.522,32.712,0.036,87.667,1.8,1.819,79.327,30.76,23.872
-123.505,48.59166667,19,2008-03-19,102,8.634,32.841,0.014,88.027,1.804,1.651,72.021,30.796,23.885
-123.505,48.59166667,19,2008-03-19,103,8.687,32.911,0.004,88.666,1.804,1.499,65.372,30.823,23.897
-123.505,48.59166667,19,2008-03-19,104,8.77,33.029,0.012,88.692,1.804,1.385,60.418,30.873,23.925
-123.505,48.59166667,19,2008-03-19,105,8.81,33.083,0.015,88.628,1.806,1.272,55.476,30.893,23.934
-123.505,48.59166667,19,2008-03-19,106,8.831,33.11,0.012,88.681,1.801,1.159,50.565,30.902,23.938
-123.505,48.59166667,19,2008-03-19,107,8.891,33.188,0.001,88.761,1.807,1.058,46.162,30.93,23.951
-123.505,48.59166667,19,2008-03-19,108,8.952,33.267,0.008,88.947,1.804,0.992,43.248,30.958,23.964
-123.505,48.59166667,19,2008-03-19,109,8.982,33.309,-0.003,89.224,1.81,0.941,41.057,30.975,23.972
-123.505,48.59166667,19,2008-03-19,110,8.988,33.318,-0.005,89.334,1.806,0.896,39.079,30.979,23.975
-123.505,48.59166667,19,2008-03-19,111,9.006,33.344,-0.003,89.34,1.812,0.842,36.725,30.99,23.98
-123.505,48.59166667,19,2008-03-19,112,9.025,33.373,-0.006,89.299,1.818,0.784,34.179,31.003,23.988
-123.505,48.59166667,19,2008-03-19,113,9.062,33.426,-0.006,89.26,1.828,0.715,31.18,31.025,23.999
-123.505,48.59166667,19,2008-03-19,114,9.096,33.473,-0.005,89.338,1.831,0.645,28.133,31.042,24.008
-123.505,48.59166667,19,2008-03-19,115,9.148,33.544,-0.003,89.426,1.82,0.56,24.411,31.07,24.022
-123.505,48.59166667,19,2008-03-19,116,9.175,33.581,-0.006,89.618,1.823,0.483,21.078,31.084,24.028
-123.505,48.59166667,19,2008-03-19,117,9.25,33.685,0,89.853,1.822,0.426,18.599,31.125,24.049
-123.505,48.59166667,19,2008-03-19,118,9.261,33.702,-0.003,90.023,1.821,0.37,16.144,31.132,24.053
-123.505,48.59166667,19,2008-03-19,119,9.288,33.74,-0.003,90.111,1.824,0.326,14.205,31.148,24.061
-123.505,48.59166667,19,2008-03-19,120,9.328,33.797,-0.012,90.242,1.82,0.287,12.503,31.171,24.073
-123.505,48.59166667,19,2008-03-19,121,9.337,33.812,-0.003,90.384,1.823,0.247,10.762,31.177,24.076
-123.505,48.59166667,19,2008-03-19,122,9.359,33.845,0.001,90.349,1.824,0.216,9.422,31.192,24.084
-123.505,48.59166667,19,2008-03-19,123,9.385,33.882,-0.012,90.629,1.835,0.192,8.362,31.207,24.092
-123.505,48.59166667,19,2008-03-19,124,9.394,33.897,-0.017,90.882,1.828,0.173,7.563,31.213,24.096
-123.505,48.59166667,19,2008-03-19,125,9.402,33.911,-0.006,91.098,1.836,0.158,6.878,31.22,24.099
-123.505,48.59166667,19,2008-03-19,126,9.954,33.926,-0.003,91.172,1.765,0.146,6.385,30.782,23.666
-123.505,48.59166667,19,2008-03-19,127,9.4,33.937,-0.003,91.311,1.818,0.136,5.937,31.247,24.121
-123.505,48.59166667,19,2008-03-19,128,9.42,33.94,-0.008,91.38,1.829,0.125,5.462,31.234,24.107
-123.505,48.59166667,19,2008-03-19,129,9.43,33.959,-0.01,91.375,1.831,0.118,5.125,31.243,24.113
-123.505,48.59166667,19,2008-03-19,130,9.436,33.971,-0.002,91.437,1.837,0.112,4.863,31.249,24.117
-123.505,48.59166667,19,2008-03-19,131,9.443,33.982,0.021,91.241,1.833,0.107,4.677,31.255,24.12
-123.505,48.59166667,19,2008-03-19,132,9.452,33.998,0.027,90.899,1.84,0.104,4.552,31.263,24.126
-123.505,48.59166667,19,2008-03-19,133,9.455,34.005,0.054,91.335,1.837,0.102,4.453,31.267,24.128
-123.505,48.59166667,19,2008-03-19,134,9.457,34.009,0.041,91.52,1.837,0.1,4.371,31.269,24.129
-123.505,48.59166667,19,2008-03-19,135,9.46,34.016,0.012,91.6,1.845,0.1,4.353,31.273,24.132
-123.505,48.59166667,19,2008-03-19,136,9.462,34.022,0.007,91.77,1.842,0.097,4.25,31.276,24.134
-123.505,48.59166667,19,2008-03-19,137,9.465,34.029,-0.013,91.774,1.848,0.096,4.194,31.281,24.137
-123.505,48.59166667,19,2008-03-19,138,9.467,34.036,0.042,91.776,1.845,0.096,4.182,31.286,24.141
-123.505,48.59166667,19,2008-03-19,139,9.466,34.039,0.083,91.833,1.852,0.096,4.183,31.289,24.144
-123.505,48.59166667,19,2008-03-19,140,9.468,34.042,0.086,91.963,1.846,0.094,4.117,31.291,24.145
-123.505,48.59166667,19,2008-03-19,141,9.471,34.049,0.045,91.995,1.847,0.094,4.096,31.294,24.147
-123.505,48.59166667,19,2008-03-19,142,9.471,34.05,-0.003,92.028,1.852,0.092,4.01,31.295,24.148
-123.505,48.59166667,19,2008-03-19,143,9.473,34.055,-0.003,92.024,1.849,0.091,3.989,31.298,24.15
-123.505,48.59166667,19,2008-03-19,144,9.475,34.06,-0.012,92.117,1.856,0.092,3.99,31.301,24.152
-123.505,48.59166667,19,2008-03-19,145,9.475,34.063,-0.002,92.17,1.852,0.091,3.969,31.303,24.153
-123.505,48.59166667,19,2008-03-19,146,9.477,34.067,-0.005,92.174,1.86,0.091,3.97,31.306,24.155
-123.505,48.59166667,19,2008-03-19,147,9.475,34.068,-0.006,92.246,1.856,0.091,3.966,31.308,24.157
-123.505,48.59166667,19,2008-03-19,148,9.476,34.07,-0.005,92.24,1.857,0.089,3.883,31.309,24.158
-123.505,48.59166667,19,2008-03-19,149,9.475,34.071,-0.003,92.258,1.859,0.089,3.885,31.31,24.159
-123.505,48.59166667,19,2008-03-19,150,9.474,34.072,-0.006,92.214,1.858,0.089,3.863,31.311,24.16
-123.505,48.59166667,19,2008-03-19,151,9.474,34.073,0.053,92.292,1.861,0.089,3.864,31.312,24.161
-123.505,48.59166667,19,2008-03-19,152,9.473,34.075,0.085,92.247,1.86,0.089,3.865,31.314,24.163
-123.505,48.59166667,19,2008-03-19,153,9.472,34.076,0.1,92.247,1.865,0.087,3.787,31.316,24.164
-123.505,48.59166667,19,2008-03-19,154,9.472,34.077,0.098,92.212,1.867,0.087,3.802,31.316,24.164
-123.505,48.59166667,19,2008-03-19,155,9.472,34.078,0.104,92.258,1.866,0.087,3.78,31.318,24.166
-123.505,48.59166667,19,2008-03-19,156,9.471,34.079,0.098,92.275,1.87,0.087,3.781,31.318,24.166
-123.505,48.59166667,19,2008-03-19,157,9.47,34.08,0.097,92.294,1.867,0.086,3.738,31.319,24.167
-123.505,48.59166667,19,2008-03-19,158,9.469,34.08,0.098,92.266,1.877,0.086,3.738,31.32,24.168
-123.505,48.59166667,19,2008-03-19,159,9.468,34.08,0.098,92.285,1.875,0.085,3.717,31.321,24.169
-123.505,48.59166667,19,2008-03-19,160,9.465,34.079,0.101,92.264,1.877,0.085,3.718,31.322,24.17
-123.505,48.59166667,19,2008-03-19,161,9.463,34.079,0.089,92.193,1.874,0.084,3.662,31.323,24.171
-123.505,48.59166667,19,2008-03-19,162,9.463,34.079,0.02,92.201,1.878,0.085,3.7,31.324,24.172
-123.505,48.59166667,19,2008-03-19,163,9.46,34.079,-0.003,92.21,1.88,0.084,3.655,31.325,24.174
-123.505,48.59166667,19,2008-03-19,164,9.457,34.079,-0.003,92.134,1.873,0.083,3.634,31.327,24.175
-123.505,48.59166667,19,2008-03-19,165,9.457,34.079,0.001,92.098,1.883,0.083,3.612,31.327,24.176
-123.505,48.59166667,19,2008-03-19,166,9.456,34.08,0.006,92.081,1.874,0.083,3.613,31.328,24.176
-123.505,48.59166667,19,2008-03-19,167,9.459,34.083,-0.002,92.107,1.884,0.083,3.613,31.329,24.176
-123.505,48.59166667,19,2008-03-19,168,9.459,34.084,-0.003,92.221,1.883,0.082,3.587,31.329,24.177
-123.505,48.59166667,19,2008-03-19,169,9.459,34.085,-0.003,92.129,1.884,0.083,3.614,31.33,24.177
-123.505,48.59166667,19,2008-03-19,170,9.459,34.085,0.067,92.141,1.886,0.082,3.587,31.33,24.177
-123.505,48.59166667,19,2008-03-19,171,9.46,34.088,0.019,92.19,1.884,0.082,3.571,31.331,24.178
-123.505,48.59166667,19,2008-03-19,172,9.46,34.089,-0.003,92.298,1.891,0.082,3.572,31.331,24.178
-123.505,48.59166667,19,2008-03-19,173,9.46,34.089,-0.003,92.317,1.89,0.082,3.564,31.332,24.179
-123.505,48.59166667,19,2008-03-19,174,9.46,34.09,0.004,92.198,1.891,0.08,3.505,31.332,24.179
-123.505,48.59166667,19,2008-03-19,175,9.459,34.09,0.003,92.254,1.894,0.08,3.487,31.332,24.179
-123.505,48.59166667,19,2008-03-19,176,9.458,34.09,-0.003,92.268,1.884,0.081,3.514,31.333,24.18
-123.505,48.59166667,19,2008-03-19,177,9.455,34.089,-0.009,92.231,1.89,0.08,3.51,31.334,24.181
-123.505,48.59166667,19,2008-03-19,178,9.455,34.091,-0.003,92.154,1.885,0.081,3.51,31.335,24.182
-123.505,48.59166667,19,2008-03-19,179,9.455,34.091,-0.003,92.226,1.887,0.079,3.463,31.335,24.182
-123.505,48.59166667,19,2008-03-19,180,9.453,34.091,-0.003,92.209,1.896,0.08,3.491,31.336,24.183
-123.505,48.59166667,19,2008-03-19,181,9.45,34.089,-0.005,92.105,1.895,0.08,3.469,31.336,24.184
-123.505,48.59166667,19,2008-03-19,182,9.449,34.089,-0.006,92.002,1.903,0.08,3.491,31.337,24.185
-123.505,48.59166667,19,2008-03-19,183,9.447,34.089,-0.008,91.952,1.895,0.079,3.447,31.338,24.186
-123.505,48.59166667,19,2008-03-19,184,9.447,34.089,-0.006,91.91,1.898,0.08,3.469,31.339,24.186
-123.505,48.59166667,19,2008-03-19,185,9.446,34.089,-0.013,91.939,1.899,0.078,3.414,31.338,24.186
-123.505,48.59166667,19,2008-03-19,186,9.446,34.09,-0.003,91.891,1.9,0.079,3.449,31.338,24.186
-123.505,48.59166667,19,2008-03-19,187,9.447,34.091,0.039,91.786,1.907,0.078,3.416,31.339,24.186
-123.505,48.59166667,19,2008-03-19,188,9.447,34.091,0.069,91.848,1.895,0.078,3.384,31.339,24.186
-123.505,48.59166667,19,2008-03-19,189,9.445,34.092,0.088,91.885,1.9,0.077,3.365,31.34,24.188
-123.505,48.59166667,19,2008-03-19,190,9.444,34.092,0.096,91.901,1.894,0.078,3.39,31.341,24.188
-123.505,48.59166667,19,2008-03-19,191,9.444,34.092,0.104,91.705,1.9,0.077,3.364,31.341,24.189
-123.505,48.59166667,19,2008-03-19,192,9.442,34.092,0.104,91.791,1.905,0.078,3.386,31.341,24.189
-123.505,48.59166667,19,2008-03-19,193,9.441,34.092,0.104,91.92,1.907,0.077,3.365,31.342,24.19
-123.505,48.59166667,19,2008-03-19,194,9.439,34.092,0.104,91.949,1.909,0.077,3.366,31.344,24.192
-123.505,48.59166667,19,2008-03-19,195,9.438,34.092,0.112,91.94,1.904,0.077,3.346,31.344,24.192
-123.505,48.59166667,19,2008-03-19,196,9.438,34.093,0.1,91.918,1.909,0.077,3.341,31.344,24.192
-123.505,48.59166667,19,2008-03-19,197,9.438,34.093,0.104,91.832,1.909,0.077,3.346,31.344,24.192
-123.505,48.59166667,19,2008-03-19,198,9.437,34.093,0.101,91.821,1.909,0.077,3.367,31.345,24.193
-123.505,48.59166667,19,2008-03-19,199,9.436,34.094,0.104,91.806,1.919,0.076,3.317,31.346,24.194
-123.505,48.59166667,19,2008-03-19,200,9.435,34.094,0.101,91.798,1.915,0.077,3.347,31.347,24.195
-123.505,48.59166667,19,2008-03-19,201,9.434,34.095,0.104,91.781,1.918,0.075,3.285,31.348,24.196
-123.505,48.59166667,19,2008-03-19,202,9.433,34.096,0.104,91.75,1.915,0.077,3.344,31.349,24.197
-123.505,48.59166667,19,2008-03-19,203,9.433,34.096,0.161,91.819,1.96,0.07,3.052,31.349,24.197
-123.505,48.59166667,20,2008-04-09,1,7.806,30.765,2.465,87.194,448.99,7.098,309.909,29.375,22.886
-123.505,48.59166667,20,2008-04-09,2,7.737,30.719,2.61,86.833,323.5,7.092,309.651,29.384,22.902
-123.505,48.59166667,20,2008-04-09,3,7.717,30.722,3.489,86.284,375.24,7.064,308.413,29.403,22.92
-123.505,48.59166667,20,2008-04-09,4,7.898,31.024,9.835,85.477,614.87,6.911,301.695,29.569,23.026
-123.505,48.59166667,20,2008-04-09,5,7.76,30.942,13.161,82.845,641.79,6.716,293.156,29.599,23.068
-123.505,48.59166667,20,2008-04-09,6,7.735,30.932,14.145,82.926,543.02,6.519,284.566,29.609,23.079
-123.505,48.59166667,20,2008-04-09,7,7.701,30.919,11.8,82.981,390.75,6.39,278.931,29.624,23.095
-123.505,48.59166667,20,2008-04-09,8,7.711,30.941,9.419,83.863,281.16,6.247,272.701,29.638,23.106
-123.505,48.59166667,20,2008-04-09,9,7.684,30.932,7.706,85.03,219.05,6.123,267.264,29.652,23.12
-123.505,48.59166667,20,2008-04-09,10,7.648,30.907,6.222,86.684,171.74,6.027,263.059,29.655,23.128
-123.505,48.59166667,20,2008-04-09,11,7.635,30.905,6.669,87.117,134.58,5.933,258.969,29.663,23.135
-123.505,48.59166667,20,2008-04-09,12,7.614,30.893,6.342,87.578,107.48,5.854,255.516,29.668,23.142
-123.505,48.59166667,20,2008-04-09,13,7.602,30.891,4.828,88.482,86.863,5.807,253.455,29.676,23.15
-123.505,48.59166667,20,2008-04-09,14,7.625,30.921,3.953,89.396,70.187,5.788,252.652,29.687,23.156
-123.505,48.59166667,20,2008-04-09,15,7.645,30.947,3.896,89.988,56.95,5.774,252.028,29.698,23.161
-123.505,48.59166667,20,2008-04-09,16,7.663,30.976,3.341,90.019,47.11,5.746,250.822,29.712,23.17
-123.505,48.59166667,20,2008-04-09,17,7.645,30.972,2.811,90.011,39.002,5.689,248.327,29.722,23.181
-123.505,48.59166667,20,2008-04-09,18,7.642,30.975,2.962,90.114,31.802,5.636,246.019,29.728,23.185
-123.505,48.59166667,20,2008-04-09,19,7.603,30.942,2.86,89.904,26.105,5.584,243.75,29.727,23.19
-123.505,48.59166667,20,2008-04-09,20,7.595,30.937,3.147,89.722,21.533,5.567,243.001,29.728,23.192
-123.505,48.59166667,20,2008-04-09,21,7.594,30.942,3.773,89.921,17.984,5.553,242.361,29.732,23.195
-123.505,48.59166667,20,2008-04-09,22,7.593,30.943,3.34,89.888,15.105,5.536,241.645,29.734,23.197
-123.505,48.59166667,20,2008-04-09,23,7.59,30.943,3.243,89.671,12.746,5.502,240.144,29.737,23.2
-123.505,48.59166667,20,2008-04-09,24,7.583,30.945,3.446,89.375,10.724,5.478,239.095,29.745,23.206
-123.505,48.59166667,20,2008-04-09,25,7.581,30.947,3.327,89.27,9.066,5.456,238.143,29.748,23.21
-123.505,48.59166667,20,2008-04-09,26,7.568,30.942,3.233,89.067,7.672,5.422,236.631,29.754,23.215
-123.505,48.59166667,20,2008-04-09,27,7.56,30.941,3.504,88.609,6.565,5.389,235.198,29.758,23.22
-123.505,48.59166667,20,2008-04-09,28,7.557,30.946,3.021,88.333,5.64,5.351,233.562,29.766,23.227
-123.505,48.59166667,20,2008-04-09,29,7.554,30.953,2.678,88.365,4.881,5.269,229.987,29.776,23.235
-123.505,48.59166667,20,2008-04-09,30,7.557,30.967,2.484,88.664,4.28,5.151,224.801,29.787,23.244
-123.505,48.59166667,20,2008-04-09,31,7.546,30.972,2.441,89.18,3.818,5.066,221.106,29.801,23.256
-123.505,48.59166667,20,2008-04-09,32,7.546,30.979,2.281,89.626,3.453,5.005,218.458,29.809,23.262
-123.505,48.59166667,20,2008-04-09,33,7.545,30.984,2.392,89.686,3.177,4.965,216.694,29.814,23.266
-123.505,48.59166667,20,2008-04-09,34,7.546,30.989,2.267,89.423,2.945,4.937,215.478,29.819,23.27
-123.505,48.59166667,20,2008-04-09,35,7.547,30.992,2.307,89.504,2.762,4.916,214.542,29.821,23.272
-123.505,48.59166667,20,2008-04-09,36,7.548,30.997,2.219,89.425,2.613,4.891,213.452,29.824,23.274
-123.505,48.59166667,20,2008-04-09,37,7.549,31.001,2.324,89.482,2.482,4.876,212.825,29.827,23.276
-123.505,48.59166667,20,2008-04-09,38,7.55,31.005,2.246,89.457,2.422,4.83,210.809,29.831,23.279
-123.505,48.59166667,20,2008-04-09,39,7.553,31.024,2.138,89.499,2.357,5.044,220.127,29.848,23.292
-123.505,48.59166667,20,2008-04-09,40,7.556,31.037,1.975,88.892,2.279,5.113,223.152,29.858,23.3
-123.505,48.59166667,20,2008-04-09,41,7.555,31.042,1.964,88.441,2.217,5.082,221.778,29.864,23.304
-123.505,48.59166667,20,2008-04-09,42,7.551,31.046,1.954,88.567,2.161,5.01,218.634,29.872,23.311
-123.505,48.59166667,20,2008-04-09,43,7.55,31.054,2.127,88.889,2.122,4.909,214.253,29.88,23.318
